team_name,game,team_league,team_country
FC Barcelona,fifa19,La Liga,es
Juventus,fifa19,Serie A,it
Paris Saint-Germain,fifa19,Ligue 1,fr
Atlético Madrid,fifa19,La Liga,es
Manchester City,fifa19,Premier League,gb-eng
Chelsea,fifa19,Premier League,gb-eng
Real Madrid,fifa19,La Liga,es
Tottenham Hotspur,fifa19,Premier League,gb-eng
Manchester United,fifa19,Premier League,gb-eng
FC Bayern München,fifa19,Bundesliga,de
Liverpool,fifa19,Premier League,gb-eng
Napoli,fifa19,Serie A,it
Arsenal,fifa19,Premier League,gb-eng
Borussia Dortmund,fifa19,Bundesliga,de
Inter,fifa19,Serie A,it
Lazio,fifa19,Serie A,it
Ajax,fifa19,Eredivisie,nl
Sporting CP,fifa19,Primeira Liga,pt
Olympique Lyonnais,fifa19,Ligue 1,fr
Roma,fifa19,Serie A,it
Valencia CF,fifa19,La Liga,es
FC Porto,fifa19,Primeira Liga,pt
LA Galaxy,fifa19,Major League Soccer,us
RB Leipzig,fifa19,Bundesliga,de
Medipol Başakşehir FK,fifa19,Süper Lig,tr
Olympique de Marseille,fifa19,Ligue 1,fr
West Ham United,fifa19,Premier League,gb-eng
SL Benfica,fifa19,Primeira Liga,pt
RC Celta,fifa19,La Liga,es
Bayer 04 Leverkusen,fifa19,Bundesliga,de
Real Sociedad,fifa19,La Liga,es
Guangzhou FC,fifa19,Super League,cn
Sevilla FC,fifa19,La Liga,es
Borussia Mönchengladbach,fifa19,Bundesliga,de
Dalian Professional,fifa19,Super League,cn
AS Saint-Étienne,fifa19,Ligue 1,fr
AS Monaco,fifa19,Ligue 1,fr
Atalanta,fifa19,Serie A,it
SV Werder Bremen,fifa19,Bundesliga,de
AC Milan,fifa19,Serie A,it
Grêmio,fifa19,Série A,br
Atlético Mineiro,fifa19,Série A,br
TSG 1899 Hoffenheim,fifa19,Bundesliga,de
Everton,fifa19,Premier League,gb-eng
1. FC Köln,fifa19,2. Bundesliga,de
Real Betis Balompié,fifa19,La Liga,es
VfL Wolfsburg,fifa19,Bundesliga,de
Shanghai Port,fifa19,Super League,cn
Villarreal CF,fifa19,La Liga,es
Wolverhampton Wanderers,fifa19,Premier League,gb-eng
Los Angeles FC,fifa19,Major League Soccer,us
Torino,fifa19,Serie A,it
Leicester City,fifa19,Premier League,gb-eng
Sampdoria,fifa19,Serie A,it
Hertha BSC,fifa19,Bundesliga,de
Beşiktaş JK,fifa19,Süper Lig,tr
Vissel Kobe,fifa19,J1 League,jp
Eintracht Frankfurt,fifa19,Bundesliga,de
Cruzeiro,fifa19,Série A,br
Lille OSC,fifa19,Ligue 1,fr
PSV,fifa19,Eredivisie,nl
Montpellier HSC,fifa19,Ligue 1,fr
Beijing Guoan,fifa19,Super League,cn
Crystal Palace,fifa19,Premier League,gb-eng
PFC CSKA,fifa19,Premier League,ru
Shanghai Shenhua,fifa19,Super League,cn
Athletic Club,fifa19,La Liga,es
Shakhtar Donetsk,fifa19,Premier League,ua
Al Nassr,fifa19,Pro League,sa
Al Hilal,fifa19,Pro League,sa
FC Lokomotiv,fifa19,Premier League,ru
FC Schalke 04,fifa19,Bundesliga,de
SPAL,fifa19,Serie A,it
Sassuolo,fifa19,Serie A,it
Newcastle United,fifa19,Premier League,gb-eng
Fluminense,fifa19,Série A,br
Getafe CF,fifa19,La Liga,es
Levante UD,fifa19,La Liga,es
Watford,fifa19,Premier League,gb-eng
Atlanta United,fifa19,Major League Soccer,us
Guangzhou City,fifa19,Super League,cn
Girona FC,fifa19,La Liga,es
Chicago Fire,fifa19,Major League Soccer,us
Galatasaray SK,fifa19,Süper Lig,tr
Racing Club,fifa19,Liga Profesional de Fútbol,ar
SD Eibar,fifa19,La Liga,es
RCD Espanyol,fifa19,La Liga,es
FC Nantes,fifa19,Ligue 1,fr
Fulham FC,fifa19,Premier League,gb-eng
Boca Juniors,fifa19,Liga Profesional de Fútbol,ar
River Plate,fifa19,Liga Profesional de Fútbol,ar
Deportivo Alavés,fifa19,La Liga,es
AFC Bournemouth,fifa19,Premier League,gb-eng
Cagliari,fifa19,Serie A,it
Toronto FC,fifa19,Major League Soccer,us
Stoke City,fifa19,Championship,gb-eng
Fiorentina,fifa19,Serie A,it
Brighton & Hove Albion,fifa19,Premier League,gb-eng
Jiangsu FC,fifa19,Super League,cn
Fenerbahçe SK,fifa19,Süper Lig,tr
CF Montréal,fifa19,Major League Soccer,us
Genoa,fifa19,Serie A,it
Burnley,fifa19,Premier League,gb-eng
OGC Nice,fifa19,Ligue 1,fr
FC Girondins de Bordeaux,fifa19,Ligue 1,fr
Tigres UANL,fifa19,Liga MX,mx
Hebei FC,fifa19,Super League,cn
Orlando City SC,fifa19,Major League Soccer,us
