position_id_fk,player_id_fk,game
0,0,fifa19
1,0,fifa19
2,0,fifa19
2,1,fifa19
3,1,fifa19
3,2,fifa19
4,2,fifa19
5,3,fifa19
4,4,fifa19
6,4,fifa19
3,5,fifa19
0,5,fifa19
6,6,fifa19
2,7,fifa19
2,8,fifa19
5,9,fifa19
2,10,fifa19
7,11,fifa19
4,12,fifa19
6,12,fifa19
7,13,fifa19
7,14,fifa19
8,15,fifa19
6,15,fifa19
4,16,fifa19
1,16,fifa19
1,17,fifa19
2,17,fifa19
7,18,fifa19
0,19,fifa19
2,19,fifa19
5,20,fifa19
8,21,fifa19
6,21,fifa19
6,22,fifa19
2,23,fifa19
2,24,fifa19
2,25,fifa19
1,25,fifa19
7,26,fifa19
6,27,fifa19
4,27,fifa19
5,28,fifa19
4,29,fifa19
6,29,fifa19
2,30,fifa19
9,30,fifa19
4,31,fifa19
9,31,fifa19
2,31,fifa19
7,32,fifa19
5,33,fifa19
5,34,fifa19
7,35,fifa19
5,36,fifa19
7,37,fifa19
5,38,fifa19
3,39,fifa19
1,39,fifa19
9,39,fifa19
7,40,fifa19
1,41,fifa19
3,41,fifa19
2,42,fifa19
8,43,fifa19
0,44,fifa19
9,44,fifa19
4,45,fifa19
6,45,fifa19
10,45,fifa19
0,46,fifa19
3,46,fifa19
2,46,fifa19
4,47,fifa19
6,47,fifa19
3,47,fifa19
5,48,fifa19
2,49,fifa19
6,50,fifa19
4,50,fifa19
8,50,fifa19
11,51,fifa19
7,52,fifa19
0,53,fifa19
2,53,fifa19
7,54,fifa19
6,55,fifa19
8,55,fifa19
2,56,fifa19
8,57,fifa19
7,58,fifa19
3,59,fifa19
4,60,fifa19
6,60,fifa19
1,60,fifa19
12,61,fifa19
6,61,fifa19
8,61,fifa19
7,62,fifa19
11,62,fifa19
5,63,fifa19
0,64,fifa19
2,64,fifa19
4,64,fifa19
7,65,fifa19
6,66,fifa19
8,66,fifa19
2,67,fifa19
11,68,fifa19
9,68,fifa19
4,69,fifa19
10,69,fifa19
1,69,fifa19
0,69,fifa19
3,70,fifa19
6,70,fifa19
5,71,fifa19
7,72,fifa19
6,73,fifa19
8,73,fifa19
11,74,fifa19
1,75,fifa19
3,75,fifa19
2,75,fifa19
2,76,fifa19
5,77,fifa19
7,78,fifa19
6,79,fifa19
4,79,fifa19
4,80,fifa19
6,80,fifa19
4,81,fifa19
6,81,fifa19
8,82,fifa19
4,83,fifa19
1,83,fifa19
6,84,fifa19
9,84,fifa19
10,84,fifa19
7,85,fifa19
8,85,fifa19
12,86,fifa19
1,87,fifa19
10,87,fifa19
5,88,fifa19
10,89,fifa19
9,89,fifa19
6,89,fifa19
2,90,fifa19
7,91,fifa19
9,92,fifa19
1,92,fifa19
3,92,fifa19
6,93,fifa19
5,94,fifa19
12,95,fifa19
7,95,fifa19
9,96,fifa19
1,97,fifa19
3,97,fifa19
6,98,fifa19
8,98,fifa19
2,99,fifa19
3,99,fifa19
9,100,fifa19
2,101,fifa19
6,102,fifa19
4,102,fifa19
8,103,fifa19
6,103,fifa19
4,104,fifa19
1,104,fifa19
8,105,fifa19
6,105,fifa19
11,106,fifa19
7,107,fifa19
2,108,fifa19
1,109,fifa19
3,109,fifa19
6,110,fifa19
8,110,fifa19
3,111,fifa19
1,111,fifa19
9,111,fifa19
7,112,fifa19
